;CAT1;CAT2;CAT3;ID;Caption
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\bob_citizen_poor_female.w2ent;bob citizen poor female
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\bob_citizen_poor_old_female.w2ent;bob citizen poor old female
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\bob_citizen_poor_old.w2ent;bob citizen poor old
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\bob_citizen_poor.w2ent;bob citizen poor
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\bob_citizen.w2ent;bob citizen
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\bob_dwarf.w2ent;bob dwarf
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\bob_noble_female.w2ent;bob noble female
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\bob_noble.w2ent;bob noble
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\community\bob_child_community.w2ent;bob child community
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\community\bob_child_female_community.w2ent;bob child female community
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\community\bob_child_noble_community.w2ent;bob child noble community
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\community\bob_child_noble_female_community.w2ent;bob child noble female community
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\community\bob_citizen_community.w2ent;bob citizen community
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\community\bob_citizen_female_community.w2ent;bob citizen female community
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\community\bob_citizen_poor_community.w2ent;bob citizen poor community
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\community\bob_citizen_poor_female_community.w2ent;bob citizen poor female community
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\community\bob_citizen_poor_old_community.w2ent;bob citizen poor old community
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\community\bob_citizen_poor_old_female_community.w2ent;bob citizen poor old female community
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\community\bob_noble_community.w2ent;bob noble community
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\community\bob_noble_female_community.w2ent;bob noble female community
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_alchemist.w2ent;bob alchemist
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_barber.w2ent;bob barber
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_bard_female.w2ent;bob bard female
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_bard.w2ent;bob bard
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_beggar.w2ent;bob beggar
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_blacksmith_less_app.w2ent;bob blacksmith less app
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_blacksmith.w2ent;bob blacksmith
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_clerks.w2ent;bob clerks
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_fistfighter_big.w2ent;bob fistfighter big
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_fistfighter.w2ent;bob fistfighter
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_herbalist.w2ent;bob herbalist
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_innkeeper_female.w2ent;bob innkeeper female
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_innkeeper.w2ent;bob innkeeper
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_medic_female.w2ent;bob medic female
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_medic.w2ent;bob medic
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_merchant_rich.w2ent;bob merchant rich
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_merchant_traveling.w2ent;bob merchant traveling
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_merchant.w2ent;bob merchant
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_prisoner.w2ent;bob prisoner
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_prostitute_male.w2ent;bob prostitute male
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_prostitute.w2ent;bob prostitute
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_sailor.w2ent;bob sailor
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_servant_palace.w2ent;bob servant palace
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_servant_tournament.w2ent;bob servant tournament
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_worker_big.w2ent;bob worker big
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\bob_worker.w2ent;bob worker
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\community\bob_clerks_community.w2ent;bob clerks community
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\community\bob_merchant_community.w2ent;bob merchant community
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\community\bob_merchant_rich_community.w2ent;bob merchant rich community
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\community\bob_sailor_community.w2ent;bob sailor community
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\community\bob_worker_big_community.w2ent;bob worker big community
;bob-characters;crowd npcs;craftsmen;dlc\bob\data\characters\npc_entities\crowd_npc\bob_craftsman\community\bob_worker_community.w2ent;bob worker community
;bob-characters;crowd npcs;guards;dlc\bob\data\characters\npc_entities\crowd_npc\bob_guard\bob_guard_consortium.w2ent;bob guard consortium
;bob-characters;crowd npcs;guards;dlc\bob\data\characters\npc_entities\crowd_npc\bob_guard\bob_guard_coronata.w2ent;bob guard coronata
;bob-characters;crowd npcs;guards;dlc\bob\data\characters\npc_entities\crowd_npc\bob_guard\bob_guard_duntynne.w2ent;bob guard duntynne
;bob-characters;crowd npcs;guards;dlc\bob\data\characters\npc_entities\crowd_npc\bob_guard\bob_guard_lvl1.w2ent;bob guard lvl1
;bob-characters;crowd npcs;guards;dlc\bob\data\characters\npc_entities\crowd_npc\bob_guard\bob_guard_lvl2.w2ent;bob guard lvl2
;bob-characters;crowd npcs;guards;dlc\bob\data\characters\npc_entities\crowd_npc\bob_guard\bob_guard_royal.w2ent;bob guard royal
;bob-characters;crowd npcs;guards;dlc\bob\data\characters\npc_entities\crowd_npc\bob_guard\bob_guard_vermentino.w2ent;bob guard vermentino
;bob-characters;crowd npcs;guards;dlc\bob\data\characters\npc_entities\crowd_npc\bob_guard\community\bob_guard_lvl1_community.w2ent;bob guard lvl1 community
;bob-characters;crowd npcs;guards;dlc\bob\data\characters\npc_entities\crowd_npc\bob_guard\community\bob_guard_lvl2_community.w2ent;bob guard lvl2 community
;bob-characters;crowd npcs;knights;dlc\bob\data\characters\npc_entities\crowd_npc\bob_knight\bob_knight.w2ent;bob knight
;bob-characters;crowd npcs;knights;dlc\bob\data\characters\npc_entities\crowd_npc\bob_knight\bob_squire.w2ent;bob squire
;bob-characters;crowd npcs;knights;dlc\bob\data\characters\npc_entities\crowd_npc\bob_knight\mq7017_knight.w2ent;mq7017 knight
;bob-characters;crowd npcs;nilfgaard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_nilfgaardian\bob_nilfgaard_noble_female.w2ent;bob nilfgaard noble female
;bob-characters;crowd npcs;nilfgaard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_nilfgaardian\bob_nilfgaard_noble.w2ent;bob nilfgaard noble
;bob-characters;crowd npcs;nilfgaard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_nilfgaardian\bob_nilfgaard_officer.w2ent;bob nilfgaard officer
;bob-characters;crowd npcs;nilfgaard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_nilfgaardian\bob_nilfgaard_ranged.w2ent;bob nilfgaard ranged
;bob-characters;crowd npcs;nilfgaard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_nilfgaardian\bob_nilfgaard_sailor.w2ent;bob nilfgaard sailor
;bob-characters;crowd npcs;nilfgaard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_nilfgaardian\bob_nilfgaard_soldier.w2ent;bob nilfgaard soldier
;bob-characters;crowd npcs;nilfgaard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_nilfgaardian\bob_nilfgaard_wine_merchant.w2ent;bob nilfgaard wine merchant
;bob-characters;crowd npcs;vineyard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_vineyard\bob_vineyard_backpack.w2ent;bob vineyard backpack
;bob-characters;crowd npcs;vineyard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_vineyard\bob_vineyard_female_backpack.w2ent;bob vineyard female backpack
;bob-characters;crowd npcs;vineyard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_vineyard\bob_vineyard_female.w2ent;bob vineyard female
;bob-characters;crowd npcs;vineyard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_vineyard\bob_vineyard_old_female.w2ent;bob vineyard old female
;bob-characters;crowd npcs;vineyard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_vineyard\bob_vineyard_old.w2ent;bob vineyard old
;bob-characters;crowd npcs;vineyard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_vineyard\bob_vineyard_supervisor_belgaard.w2ent;bob vineyard supervisor belgaard
;bob-characters;crowd npcs;vineyard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_vineyard\bob_vineyard_supervisor_consortium.w2ent;bob vineyard supervisor consortium
;bob-characters;crowd npcs;vineyard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_vineyard\bob_vineyard_supervisor_coronata.w2ent;bob vineyard supervisor coronata
;bob-characters;crowd npcs;vineyard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_vineyard\bob_vineyard_supervisor_vermentino.w2ent;bob vineyard supervisor vermentino
;bob-characters;crowd npcs;vineyard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_vineyard\bob_vineyard_supervisor.w2ent;bob vineyard supervisor
;bob-characters;crowd npcs;vineyard;dlc\bob\data\characters\npc_entities\crowd_npc\bob_vineyard\bob_vineyard.w2ent;bob vineyard
;bob-characters;crowd npcs;;dlc\bob\data\characters\npc_entities\crowd_npc\bob_bandit\bob_raider_lvl1.w2ent;bob raider lvl1
;bob-characters;crowd npcs;;dlc\bob\data\characters\npc_entities\crowd_npc\bob_bandit\bob_raider_lvl2.w2ent;bob raider lvl2
;bob-characters;crowd npcs;;dlc\bob\data\characters\npc_entities\crowd_npc\bob_bandit\bob_raider_ranged.w2ent;bob raider ranged
;bob-characters;crowd npcs;;dlc\bob\data\characters\npc_entities\crowd_npc\bob_bandit\bob_thug_lvl1.w2ent;bob thug lvl1
;bob-characters;crowd npcs;;dlc\bob\data\characters\npc_entities\crowd_npc\bob_bandit\bob_thug_lvl2_less_app.w2ent;bob thug lvl2 less app
;bob-characters;crowd npcs;;dlc\bob\data\characters\npc_entities\crowd_npc\bob_bandit\bob_thug_lvl2.w2ent;bob thug lvl2
;bob-characters;crowd npcs;;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\bob_bard_trumpet.w2ent;bob bard trumpet
;bob-characters;crowd npcs;;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\bob_child_female.w2ent;bob child female
;bob-characters;crowd npcs;;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\bob_child_noble_female.w2ent;bob child noble female
;bob-characters;crowd npcs;;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\bob_child_noble.w2ent;bob child noble
;bob-characters;crowd npcs;;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\bob_child.w2ent;bob child
;bob-characters;crowd npcs;;dlc\bob\data\characters\npc_entities\crowd_npc\bob_dyetrader\bob_dyetrader.w2ent;bob dyetrader
;bob-characters;crowd npcs;;dlc\bob\data\characters\npc_entities\crowd_npc\bob_no_autohide\bob_female_no_autohide.w2ent;bob female no autohide
;bob-characters;crowd npcs;;dlc\bob\data\characters\npc_entities\crowd_npc\bob_no_autohide\bob_male_no_autohide.w2ent;bob male no autohide
;bob-characters;main npcs;;dlc\bob\data\characters\npc_entities\main_npc\anna_henrietta.w2ent;anna henrietta
;bob-characters;main npcs;;dlc\bob\data\characters\npc_entities\main_npc\damien_de_la_tour.w2ent;damien de la tour
;bob-characters;main npcs;;dlc\bob\data\characters\npc_entities\main_npc\dettlaff.w2ent;dettlaff
;bob-characters;main npcs;;dlc\bob\data\characters\npc_entities\main_npc\oriana.w2ent;oriana
;bob-characters;main npcs;;dlc\bob\data\characters\npc_entities\main_npc\regis.w2ent;regis
;bob-characters;main npcs;;dlc\bob\data\characters\npc_entities\main_npc\syanna.w2ent;syanna
;bob-characters;main npcs;;dlc\bob\data\characters\npc_entities\main_npc\triss_bob.w2ent;triss bob
;bob-characters;main npcs;;dlc\bob\data\characters\npc_entities\main_npc\vivienne_de_tabris_nodress.w2ent;vivienne de tabris nodress
;bob-characters;main npcs;;dlc\bob\data\characters\npc_entities\main_npc\vivienne_de_tabris.w2ent;vivienne de tabris
;bob-characters;monsters;banshee;dlc\bob\data\characters\npc_entities\monsters\nightwraith_banshee_summon_skeleton.w2ent;nightwraith banshee summon skeleton
;bob-characters;monsters;banshee;dlc\bob\data\characters\npc_entities\monsters\nightwraith_banshee_summon.w2ent;nightwraith banshee summon
;bob-characters;monsters;banshee;dlc\bob\data\characters\npc_entities\monsters\nightwraith_banshee.w2ent;nightwraith banshee
;bob-characters;monsters;bruxa;dlc\bob\data\characters\npc_entities\monsters\bruxa_alp_cloak_always_spawn.w2ent;bruxa alp cloak always spawn
;bob-characters;monsters;bruxa;dlc\bob\data\characters\npc_entities\monsters\bruxa_alp_cloak.w2ent;bruxa alp cloak
;bob-characters;monsters;bruxa;dlc\bob\data\characters\npc_entities\monsters\bruxa_alp.w2ent;bruxa alp
;bob-characters;monsters;bruxa;dlc\bob\data\characters\npc_entities\monsters\bruxa_cloak_always_spawn.w2ent;bruxa cloak always spawn
;bob-characters;monsters;bruxa;dlc\bob\data\characters\npc_entities\monsters\bruxa_cloak.w2ent;bruxa cloak
;bob-characters;monsters;bruxa;dlc\bob\data\characters\npc_entities\monsters\bruxa.w2ent;bruxa
;bob-characters;monsters;panther;dlc\bob\data\characters\npc_entities\monsters\panther_black_fairytale_witch.w2ent;panther black fairytale witch
;bob-characters;monsters;panther;dlc\bob\data\characters\npc_entities\monsters\panther_black.w2ent;panther black
;bob-characters;monsters;panther;dlc\bob\data\characters\npc_entities\monsters\panther_leopard.w2ent;panther leopard
;bob-characters;monsters;panther;dlc\bob\data\characters\npc_entities\monsters\panther_mountain.w2ent;panther mountain
;bob-characters;monsters;sharley;dlc\bob\data\characters\npc_entities\monsters\sharley_mh.w2ent;sharley mh
;bob-characters;monsters;sharley;dlc\bob\data\characters\npc_entities\monsters\sharley_q701_normal_scale.w2ent;sharley q701 normal scale
;bob-characters;monsters;sharley;dlc\bob\data\characters\npc_entities\monsters\sharley_q701.w2ent;sharley q701
;bob-characters;monsters;sharley;dlc\bob\data\characters\npc_entities\monsters\sharley.w2ent;sharley
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\barghest_wight_minion.w2ent;barghest wight minion
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\barghest.w2ent;barghest
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\basilisk_white.w2ent;basilisk white
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\bigbadwolf.w2ent;bigbadwolf
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\black_spider_ep2.w2ent;black spider ep2
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\black_spider_large_ep2.w2ent;black spider large ep2
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\detlaff_monster.w2ent;detlaff monster
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\dettlaff_vampire.w2ent;dettlaff vampire
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\fairytale_witch.w2ent;fairytale witch
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\fleder.w2ent;fleder
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\gargoyle_lvl1.w2ent;gargoyle lvl1
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\garkain_mh.w2ent;garkain mh
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\garkain.w2ent;garkain
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\gravier.w2ent;gravier
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\kikimore_small.w2ent;kikimore small
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\kikimore.w2ent;kikimore
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\mq7007_item__golem_grafitti.w2ent;mq7007 item golem grafitti
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\mq7023_panther_magic.w2ent;mq7023 panther magic
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\oszluzg_young.w2ent;oszluzg young
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\oszluzg.w2ent;oszluzg
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\q701_dagonet_giant.w2ent;q701 dagonet giant
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\q704_cloud_giant.w2ent;q704 cloud giant
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\q704_honey_bear.w2ent;q704 honey bear
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\regis_vampire.w2ent;regis vampire
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\spirit_cat.w2ent;spirit cat
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\spooncollector.w2ent;spooncollector
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\spriggan.w2ent;spriggan
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\vivienne_bird_form.w2ent;vivienne bird form
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\wicht.w2ent;wicht
;bob-characters;monsters;;dlc\bob\data\characters\npc_entities\monsters\wild_boar_ep2.w2ent;wild boar ep2
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\anseis.w2ent;anseis
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\brienne.w2ent;brienne
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\errand_knight_ghost.w2ent;errand knight ghost
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\gregoire.w2ent;gregoire
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\guillaume.w2ent;guillaume
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\hanna_von_kagen.w2ent;hanna von kagen
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\king_cormorant.w2ent;king cormorant
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\lynx_rock_witch.w2ent;lynx rock witch
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\match_girl.w2ent;match girl
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\milton.w2ent;milton
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\mq7001_luis_ghost.w2ent;mq7001 luis ghost
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\mq7001_margot_ghost.w2ent;mq7001 margot ghost
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\mq7004_ghost.w2ent;mq7004 ghost
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\mq7007_elven_knigh.w2ent;mq7007 elven knigh
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\mq7007_elven_sorceress.w2ent;mq7007 elven sorceress
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\mq7007_traveler.w2ent;mq7007 traveler
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\mq7007_vineyard_owner.w2ent;mq7007 vineyard owner
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\mq7021_hugo.w2ent;mq7021 hugo
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\mq7023_moreau.w2ent;mq7023 moreau
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\nazairi_boss.w2ent;nazairi boss
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\old_woman_wight.w2ent;old woman wight
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\original_vampire.w2ent;original vampire
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\palmerin.w2ent;palmerin
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\q702_count_murder.w2ent;q702 count murder
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\q703_lisa.w2ent;q703 lisa
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\q704_griggs.w2ent;q704 griggs
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\q704_wounded_boy.w2ent;q704 wounded boy
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\q704_wounded_city_guard.w2ent;q704 wounded city guard
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\royal_bard.w2ent;royal bard
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\sq701_forest_nymph.w2ent;sq701 forest nymph
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\sq703_investor.w2ent;sq703 investor
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\tailles.w2ent;tailles
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\tremblay.w2ent;tremblay
;bob-characters;secondary npcs;;dlc\bob\data\characters\npc_entities\secondary_npc\wolf_boy.w2ent;wolf boy
;bob-main quests;all for one;;dlc\bob\data\quests\main_quests\quest_files\q703_all_for_one\characters\dun_tynne_bandits\q703_a03_big_nazairian_01.w2ent;q703 a03 big nazairian 01
;bob-main quests;all for one;;dlc\bob\data\quests\main_quests\quest_files\q703_all_for_one\characters\dun_tynne_bandits\q703_a03_s01_nazairian_sword2h.w2ent;q703 a03 s01 nazairian sword2h
;bob-main quests;all for one;;dlc\bob\data\quests\main_quests\quest_files\q703_all_for_one\characters\dun_tynne_bandits\q703_a03_s02_archers.w2ent;q703 a03 s02 archers
