file;cat1;cat2;cat3;id;caption;frames
characters\animals\owl\owl.w2anims;animals;owl;owl;c_fly_trap_2;c fly trap 2;0
characters\animals\owl\owl.w2anims;animals;owl;owl;owl;owl;60
characters\animals\pig\pig.w2anims;animals;pig;pig;death;death;60
characters\animals\pig\pig.w2anims;animals;pig;pig;hit;hit;20
characters\animals\pig\pig.w2anims;animals;pig;pig;idle1;idle1;60
characters\animals\pig\pig.w2anims;animals;pig;pig;idle2;idle2;360
characters\animals\pig\pig.w2anims;animals;pig;pig;idle3;idle3;350
characters\animals\pig\pig.w2anims;animals;pig;pig;idle4;idle4;300
characters\animals\pig\pig.w2anims;animals;pig;pig;idle5;idle5;180
characters\animals\pig\pig.w2anims;animals;pig;pig;pig;pig;150
characters\animals\pig\pig.w2anims;animals;pig;pig;push_l;push l;20
characters\animals\pig\pig.w2anims;animals;pig;pig;push_r;push r;20
characters\animals\pig\pig.w2anims;animals;pig;pig;run;run;15
characters\animals\pig\pig.w2anims;animals;pig;pig;turn_l_180;turn l 180;70
characters\animals\pig\pig.w2anims;animals;pig;pig;turn_l_90;turn l 90;40
characters\animals\pig\pig.w2anims;animals;pig;pig;turn_l_90_3step;turn l 90 3step;70
characters\animals\pig\pig.w2anims;animals;pig;pig;turn_r_180;turn r 180;70
characters\animals\pig\pig.w2anims;animals;pig;pig;turn_r_90;turn r 90;40
characters\animals\pig\pig.w2anims;animals;pig;pig;turn_r_90_3step;turn r 90 3step;70
characters\animals\pig\pig.w2anims;animals;pig;pig;walk;walk;28
characters\animals\pigeon\pigeon.w2anims;animals;pigeon;pigeon;fly;fly;15
characters\animals\pigeon\pigeon.w2anims;animals;pigeon;pigeon;fly_idle_1;fly idle 1;105
characters\animals\pigeon\pigeon.w2anims;animals;pigeon;pigeon;fly_idle_2;fly idle 2;105
characters\animals\pigeon\pigeon.w2anims;animals;pigeon;pigeon;fly_idle_3;fly idle 3;150
characters\animals\pigeon\pigeon.w2anims;animals;pigeon;pigeon;fly_to_idle;fly to idle;85
characters\animals\pigeon\pigeon.w2anims;animals;pigeon;pigeon;idle_1;idle 1;150
characters\animals\pigeon\pigeon.w2anims;animals;pigeon;pigeon;idle_2;idle 2;160
characters\animals\pigeon\pigeon.w2anims;animals;pigeon;pigeon;idle_3;idle 3;150
characters\animals\pigeon\pigeon.w2anims;animals;pigeon;pigeon;idle_to_fly;idle to fly;70
characters\animals\rat\rat.w2anims;animals;rat;rat;idle_1;idle 1;0
characters\animals\rat\rat.w2anims;animals;rat;rat;idle_2;idle 2;60
characters\animals\rat\rat.w2anims;animals;rat;rat;idle_3;idle 3;70
characters\animals\rat\rat.w2anims;animals;rat;rat;rat;rat;100
characters\animals\rat\rat.w2anims;animals;rat;rat;run;run;12
characters\animals\rat\rat.w2anims;animals;rat;rat;run_loop;run loop;0
characters\animals\rat\rat.w2anims;animals;rat;rat;run_loop_2;run loop 2;100
characters\animals\sheep\sheep.w2anims;animals;sheep;sheep;bored1;bored1;150
characters\animals\sheep\sheep.w2anims;animals;sheep;sheep;bored2;bored2;155
characters\animals\sheep\sheep.w2anims;animals;sheep;sheep;dead;dead;64
characters\animals\sheep\sheep.w2anims;animals;sheep;sheep;hit;hit;70
characters\animals\sheep\sheep.w2anims;animals;sheep;sheep;idle1;idle1;127
characters\animals\sheep\sheep.w2anims;animals;sheep;sheep;kill_dead;kill dead;58
characters\animals\sheep\sheep.w2anims;animals;sheep;sheep;run_f;run f;18
characters\animals\sheep\sheep.w2anims;animals;sheep;sheep;walk_b;walk b;36
characters\animals\sheep\sheep.w2anims;animals;sheep;sheep;walk_f;walk f;30
characters\templates\interaction\wrist_wrestling\wrist_wrestling_man.w2anims;arm_wrestling;wrist_wrestling;wrist_wrestling_man;ww_idle1;ww idle1;334
characters\templates\interaction\wrist_wrestling\wrist_wrestling_man.w2anims;arm_wrestling;wrist_wrestling;wrist_wrestling_man;ww_idle_to_wrestle;ww idle to wrestle;35
characters\templates\interaction\wrist_wrestling\wrist_wrestling_man.w2anims;arm_wrestling;wrist_wrestling;wrist_wrestling_man;ww_wrestle_idle1;ww wrestle idle1;60
characters\templates\interaction\wrist_wrestling\wrist_wrestling_man.w2anims;arm_wrestling;wrist_wrestling;wrist_wrestling_man;ww_wrestle_lose;ww wrestle lose;95
characters\templates\interaction\wrist_wrestling\wrist_wrestling_man.w2anims;arm_wrestling;wrist_wrestling;wrist_wrestling_man;ww_wrestle_losing;ww wrestle losing;60
characters\templates\interaction\wrist_wrestling\wrist_wrestling_man.w2anims;arm_wrestling;wrist_wrestling;wrist_wrestling_man;ww_wrestle_losing_prog1;ww wrestle losing prog1;60
characters\templates\interaction\wrist_wrestling\wrist_wrestling_man.w2anims;arm_wrestling;wrist_wrestling;wrist_wrestling_man;ww_wrestle_neutral;ww wrestle neutral;60
characters\templates\interaction\wrist_wrestling\wrist_wrestling_man.w2anims;arm_wrestling;wrist_wrestling;wrist_wrestling_man;ww_wrestle_to_idle;ww wrestle to idle;35
characters\templates\interaction\wrist_wrestling\wrist_wrestling_man.w2anims;arm_wrestling;wrist_wrestling;wrist_wrestling_man;ww_wrestle_win;ww wrestle win;95
characters\templates\interaction\wrist_wrestling\wrist_wrestling_man.w2anims;arm_wrestling;wrist_wrestling;wrist_wrestling_man;ww_wrestle_winning;ww wrestle winning;60
characters\templates\interaction\wrist_wrestling\wrist_wrestling_man.w2anims;arm_wrestling;wrist_wrestling;wrist_wrestling_man;ww_wrestle_winning_prog1;ww wrestle winning prog1;60
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;death;death;30
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;idle1;idle1;120
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;idle1_big;idle1 big;120
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;idle2;idle2;250
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;idle2_big;idle2 big;250
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;idle3;idle3;160
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;idle4;idle4;150
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;idle5;idle5;120
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;push_l;push l;35
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;push_r;push r;35
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;run;run;15
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;turn_l_180;turn l 180;60
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;turn_l_90;turn l 90;30
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;turn_l_90_3step;turn l 90 3step;60
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;turn_r_180;turn r 180;60
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;turn_r_90;turn r 90;30
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;turn_r_90_3step;turn r 90 3step;60
characters\animals\chicken\chicken.w2anims;chicken;chicken;chicken;walk;walk;30
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_attack_dynamic1_t0;1h c attack dynamic1 t0;80
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_attack_dynamic1_t1;1h c attack dynamic1 t1;60
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_attack_dynamic1_t2;1h c attack dynamic1 t2;78
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_attack_dynamic2_t0;1h c attack dynamic2 t0;85
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_attack_dynamic2_t1;1h c attack dynamic2 t1;80
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_attack_dynamic2_t2;1h c attack dynamic2 t2;82
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_attack_dynamic3_t0;1h c attack dynamic3 t0;75
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_attack_dynamic3_t1;1h c attack dynamic3 t1;63
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_attack_dynamic3_t2;1h c attack dynamic3 t2;81
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_attack_dynamic4_t0;1h c attack dynamic4 t0;72
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_attack_dynamic4_t1;1h c attack dynamic4 t1;60
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_attack_dynamic4_t2;1h c attack dynamic4 t2;90
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_attack_dynamic5_t1;1h c attack dynamic5 t1;67
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_attack_dynamic5_t2;1h c attack dynamic5 t2;102
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_attack_dynamic6_t1;1h c attack dynamic6 t1;61
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_axii_failed;1h c axii failed;56
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_axii_loop;1h c axii loop;109
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_axii_start;1h c axii start;77
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_axii_succed;1h c axii succed;96
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_death;1h c death;84
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_dodge;1h c dodge;49
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_from_slot1;1h c from slot1;109
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_from_slot2;1h c from slot2;76
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_hit1_t0;1h c hit1 t0;50
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_hit1_t1;1h c hit1 t1;59
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_hit2_t0;1h c hit2 t0;75
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_hit2_t1;1h c hit2 t1;60
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_hit3_t0;1h c hit3 t0;36
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_hit4_t0;1h c hit4 t0;40
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_hit_back;1h c hit back;68
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_idle_1;1h c idle 1;105
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_idle_2;1h c idle 2;70
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_idle_2_b;1h c idle 2 b;70
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_idle_2_bl;1h c idle 2 bl;70
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_idle_2_l;1h c idle 2 l;70
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_idle_2_r;1h c idle 2 r;70
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_idle_3;1h c idle 3;135
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_idle_4;1h c idle 4;100
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_idle_5;1h c idle 5;95
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_igni_end;1h c igni end;79
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_igni_loop;1h c igni loop;90
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_igni_start;1h c igni start;49
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_knockdown;1h c knockdown;105
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_knockdown_death;1h c knockdown death;60
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_knockdown_loop;1h c knockdown loop;20
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_knockdown_start;1h c knockdown start;66
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_knockdown_stop;1h c knockdown stop;57
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_open_door_from_inside;1h c open door from inside;60
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_open_door_from_outside;1h c open door from outside;75
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_parry1;1h c parry1;43
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_parry_attack1;1h c parry attack1;74
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_reflected1;1h c reflected1;54
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_reflected2;1h c reflected2;63
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_rotate_180_r;1h c rotate 180 r;40
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_rotate_90_l;1h c rotate 90 l;38
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_rotate_90_r;1h c rotate 90 r;32
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_run_b;1h c run b;21
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_run_b_slow;1h c run b slow;21
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_run_f;1h c run f;20
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_run_f_180l;1h c run f 180l;21
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_run_f_180r;1h c run f 180r;21
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_run_f_90l;1h c run f 90l;21
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_run_f_90r;1h c run f 90r;21
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_run_f_slow;1h c run f slow;21
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_run_l;1h c run l;20
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_run_l_slow;1h c run l slow;21
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_run_r;1h c run r;20
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_run_r_slow;1h c run r slow;21
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_sheath_sword1;1h c sheath sword1;83
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_sheath_sword2;1h c sheath sword2;62
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_step_b;1h c step b;37
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_step_f;1h c step f;34
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_step_l;1h c step l;61
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_step_r;1h c step r;50
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_stunned_end;1h c stunned end;45
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_stunned_loop;1h c stunned loop;90
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_stunned_start;1h c stunned start;57
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_taunt;1h c taunt;120
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_taunt2;1h c taunt2;97
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_taunt3;1h c taunt3;102
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_taunt4;1h c taunt4;130
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_taunt5;1h c taunt5;110
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_taunt6;1h c taunt6;108
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_walk_b;1h c walk b;35
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_walk_b_slow;1h c walk b slow;35
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_walk_f;1h c walk f;35
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_walk_f_slow;1h c walk f slow;35
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_walk_l;1h c walk l;35
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_walk_l_2;1h c walk l 2;35
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_walk_l_slow;1h c walk l slow;35
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_walk_r;1h c walk r;35
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_walk_r_slow;1h c walk r slow;35
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_yrden_loop;1h c yrden loop;220
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_yrden_start;1h c yrden start;11
characters\templates\man\animation\combat_1handed.w2anims;combat_1h_new;man;combat_1handed;1h_c_yrden_stop;1h c yrden stop;63
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_counter_1;2h attack counter 1;90
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_counter_2;2h attack counter 2;80
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_counter_3;2h attack counter 3;75
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_counter_4;2h attack counter 4;75
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_counter_5;2h attack counter 5;75
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_counter_6;2h attack counter 6;60
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_counter_7;2h attack counter 7;60
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_dynamic_1;2h attack dynamic 1;60
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_dynamic_1_full;2h attack dynamic 1 full;120
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_dynamic_2;2h attack dynamic 2;55
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_dynamic_2_full;2h attack dynamic 2 full;111
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_dynamic_3;2h attack dynamic 3;70
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_dynamic_3_full;2h attack dynamic 3 full;108
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_dynamic_4;2h attack dynamic 4;62
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_dynamic_4_full;2h attack dynamic 4 full;115
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_dynamic_5;2h attack dynamic 5;50
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_attack_dynamic_5_full;2h attack dynamic 5 full;111
characters\templates\man\animation\combat_2handed.w2anims;combat_2h;man;combat_2handed;2h_axii_cast_loop;2h axii cast loop;30
