;CAT1;CAT2;CAT3;ID;Caption
;bob-action points;children;;dlc\bob\data\gameplay\community\actionpoints\children_play\stand_c_peeing_ap.w2ent;stand c peeing ap
;bob-action points;children;;dlc\bob\data\gameplay\community\actionpoints\children_play\stand_c_play_bow_dynamic_ap.w2ent;stand c play bow dynamic ap
;bob-action points;children;;dlc\bob\data\gameplay\community\actionpoints\children_play\stand_c_play_sword_01_dynamic_ap.w2ent;stand c play sword 01 dynamic ap
;bob-action points;children;;dlc\bob\data\gameplay\community\actionpoints\children_play\stand_c_play_sword_02_dynamic_ap.w2ent;stand c play sword 02 dynamic ap
;bob-action points;children;;dlc\bob\data\gameplay\community\actionpoints\children_play\stand_c_playing_flute_ap.w2ent;stand c playing flute ap
;bob-action points;children;;dlc\bob\data\gameplay\community\actionpoints\children_play\stand_c_playing_flute_dynamic_ap.w2ent;stand c playing flute dynamic ap
;bob-action points;children;;dlc\bob\data\gameplay\community\actionpoints\children_play\stand_c_throw_rocks_aggressive_ap.w2ent;stand c throw rocks aggressive ap
;bob-action points;children;;dlc\bob\data\gameplay\community\actionpoints\children_play\stand_c_throw_rocks_ap.w2ent;stand c throw rocks ap
;bob-action points;dining;;dlc\bob\data\gameplay\community\actionpoints\dining\sit_m_eating_fish_ap.w2ent;sit m eating fish ap
;bob-action points;dining;;dlc\bob\data\gameplay\community\actionpoints\dining\sit_m_table_tasting_wine_left_ap.w2ent;sit m table tasting wine left ap
;bob-action points;dining;;dlc\bob\data\gameplay\community\actionpoints\dining\sit_m_table_tasting_wine_right_ap.w2ent;sit m table tasting wine right ap
;bob-action points;dining;;dlc\bob\data\gameplay\community\actionpoints\dining\sit_w_table_eating_ap.w2ent;sit w table eating ap
;bob-action points;dining;;dlc\bob\data\gameplay\community\actionpoints\dining\sit_w_table_tasting_wine_ap.w2ent;sit w table tasting wine ap
;bob-action points;dining;;dlc\bob\data\gameplay\community\actionpoints\dining\stand_w_eating_fancy_ap.w2ent;stand w eating fancy ap
;bob-action points;dining;;dlc\bob\data\gameplay\community\actionpoints\dining\stand_w_tasting_wine_ap.w2ent;stand w tasting wine ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\sit_mw_devastated_bench_rich_short_interactable_ap.w2ent;sit mw devastated bench rich short interactable ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\sit_mw_devastated_bench_short_ap.w2ent;sit mw devastated bench short ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\sit_mw_devastated_bench_short_interactable_ap.w2ent;sit mw devastated bench short interactable ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\sit_mw_devastated_concious_nomesh_ap.w2ent;sit mw devastated concious nomesh ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\sit_w_flirting_ap.w2ent;sit w flirting ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\stand_mw_dancing_folk_ap.w2ent;stand mw dancing folk ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\stand_mw_dancing_sexy_ap.w2ent;stand mw dancing sexy ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\stand_mw_talking_sad_voicesets_ap.w2ent;stand mw talking sad voicesets ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\stand_mw_tossing_coins_02_ik_ap.w2ent;stand mw tossing coins 02 ik ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\stand_w_dancing_drunk_ap.w2ent;stand w dancing drunk ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\stand_w_dancing_formal_ap.w2ent;stand w dancing formal ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\stand_w_dancing_formal_dynamic_ap.w2ent;stand w dancing formal dynamic ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\stand_w_drunk_puke_ap.w2ent;stand w drunk puke ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\stand_w_enjoying_nature_ap.w2ent;stand w enjoying nature ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\stand_w_enjoying_nature_dynamic_ap.w2ent;stand w enjoying nature dynamic ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\stand_w_fainting_ap.w2ent;stand w fainting ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\stand_w_flirting_ap.w2ent;stand w flirting ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\stand_w_kneeling_knight_ap.w2ent;stand w kneeling knight ap
;bob-action points;emotional;;dlc\bob\data\gameplay\community\actionpoints\emotional\stand_w_sneeze_fancy_ap.w2ent;stand w sneeze fancy ap
;bob-action points;household;;dlc\bob\data\gameplay\community\actionpoints\household\stand_mw_cleaning_carpet_rack_static_ap.w2ent;stand mw cleaning carpet rack static ap
;bob-action points;household;;dlc\bob\data\gameplay\community\actionpoints\household\stand_mw_cooking_big_cauldron_ap.w2ent;stand mw cooking big cauldron ap
;bob-action points;household;;dlc\bob\data\gameplay\community\actionpoints\household\stand_mw_cooking_roasted_pig_ap.w2ent;stand mw cooking roasted pig ap
;bob-action points;household;;dlc\bob\data\gameplay\community\actionpoints\household\stand_w_looking_mirror_small_ap.w2ent;stand w looking mirror small ap
;bob-action points;household;;dlc\bob\data\gameplay\community\actionpoints\household\stand_w_washing_cloths_washtub_ap.w2ent;stand w washing cloths washtub ap
;bob-action points;infested vineyard;;dlc\bob\data\gameplay\community\actionpoints\infested_vineyard\kneel_m_pain_ap.w2ent;kneel m pain ap
;bob-action points;infested vineyard;;dlc\bob\data\gameplay\community\actionpoints\infested_vineyard\sit_m_ground_wounded_02_ap.w2ent;sit m ground wounded 02 ap
;bob-action points;infested vineyard;;dlc\bob\data\gameplay\community\actionpoints\infested_vineyard\sit_mw_ground_hopeless_ap.w2ent;sit mw ground hopeless ap
;bob-action points;infested vineyard;;dlc\bob\data\gameplay\community\actionpoints\infested_vineyard\stand_m_cowering_02_ap.w2ent;stand m cowering 02 ap
;bob-action points;infested vineyard;;dlc\bob\data\gameplay\community\actionpoints\infested_vineyard\stand_m_cowering_03_ap.w2ent;stand m cowering 03 ap
;bob-action points;infested vineyard;;dlc\bob\data\gameplay\community\actionpoints\infested_vineyard\stand_m_scout_ap.w2ent;stand m scout ap
;bob-action points;infested vineyard;;dlc\bob\data\gameplay\community\actionpoints\infested_vineyard\stand_mw_lost_in_thoughts_ap.w2ent;stand mw lost in thoughts ap
;bob-action points;infested vineyard;;dlc\bob\data\gameplay\community\actionpoints\infested_vineyard\stand_mw_scared_ap.w2ent;stand mw scared ap
;bob-action points;infested vineyard;;dlc\bob\data\gameplay\community\actionpoints\infested_vineyard\stand_mw_upset_ap.w2ent;stand mw upset ap
;bob-action points;monsters;;dlc\bob\data\gameplay\community\actionpoints\monsters\bruxa_feeding_ap.w2ent;bruxa feeding ap
;bob-action points;monsters;;dlc\bob\data\gameplay\community\actionpoints\monsters\kikimore_taunt1_ap.w2ent;kikimore taunt1 ap
;bob-action points;monsters;;dlc\bob\data\gameplay\community\actionpoints\monsters\kikimore_taunt2_ap.w2ent;kikimore taunt2 ap
;bob-action points;monsters;;dlc\bob\data\gameplay\community\actionpoints\monsters\kikimore_taunt3_ap.w2ent;kikimore taunt3 ap
;bob-action points;monsters;;dlc\bob\data\gameplay\community\actionpoints\monsters\leshy_sit_ap.w2ent;leshy sit ap
;bob-action points;monsters;;dlc\bob\data\gameplay\community\actionpoints\monsters\werewolf_lying_ap.w2ent;werewolf lying ap
;bob-action points;monsters;;dlc\bob\data\gameplay\community\actionpoints\monsters\werewolf_territorial_ap.w2ent;werewolf territorial ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\bob_sq107_cowering_ap.w2ent;bob sq107 cowering ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\drunken_sit_ap.w2ent;drunken sit ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\kneel_m_pain_conscious_ap.w2ent;kneel m pain conscious ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\lie_mw_ground_drunk_concious_ap.w2ent;lie mw ground drunk concious ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\lie_mwdc_sleep_ground_conscious_ap.w2ent;lie mwdc sleep ground conscious ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7001_sit_m_sleep_chair.w2ent;mq7001 sit m sleep chair
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7001_sit_table_sleeping.w2ent;mq7001 sit table sleeping
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7006_sit_m_meditate_ap.w2ent;mq7006 sit m meditate ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7007_sit_mw_devastated_nomesh_ap.w2ent;mq7007 sit mw devastated nomesh ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7007_sorceress_statue_ap.w2ent;mq7007 sorceress statue ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7007_stand_m_reading_book_ap.w2ent;mq7007 stand m reading book ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7007_warrior_statue_ap.w2ent;mq7007 warrior statue ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7007_warrior_statue_new_l_ap.w2ent;mq7007 warrior statue new l ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7007_warrior_statue_new_r_ap.w2ent;mq7007 warrior statue new r ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7008_chort_attack_well_ap.w2ent;mq7008 chort attack well ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7008_lean_mw_fence_on_arms_no_wave_ap.w2ent;mq7008 lean mw fence on arms no wave ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7009_ap_sit_picnic_woman.w2ent;mq7009 ap sit picnic woman
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7009_ap_sit_picnic.w2ent;mq7009 ap sit picnic
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7009_lookfor_paints_ap.w2ent;mq7009 lookfor paints ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7009_nekker_watching_ap.w2ent;mq7009 nekker watching ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7009_painter_on_market_ap.w2ent;mq7009 painter on market ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7011_dwarf_by_vault.w2ent;mq7011 dwarf by vault
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7011_man_on_stairs_ap.w2ent;mq7011 man on stairs ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7011_sit_m_writing_desk_pretty_ap.w2ent;mq7011 sit m writing desk pretty ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7015_caretaker_fixing_ap.w2ent;mq7015 caretaker fixing ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7021_sit_m_ground_wounded_01_ap.w2ent;mq7021 sit m ground wounded 01 ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\mq7024_stand_hands_behind_ap.w2ent;mq7024 stand hands behind ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q701_lying_m_ground_ap.w2ent;q701 lying m ground ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q701_man_angry_ap.w2ent;q701 man angry ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q701_man_proud_ap.w2ent;q701 man proud ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q701_nobleman_angry_ap.w2ent;q701 nobleman angry ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q701_noblewoman_angry_ap.w2ent;q701 noblewoman angry ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q701_preacher_woman_ap.w2ent;q701 preacher woman ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q701_puma_tamer_show_ap.w2ent;q701 puma tamer show ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q701_sit_m_eating_pasztet_ap.w2ent;q701 sit m eating pasztet ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q701_sit_m_ground_pwned_ap.w2ent;q701 sit m ground pwned ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q701_sit_mw_devastated_concious_nomesh_ap.w2ent;q701 sit mw devastated concious nomesh ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q701_sit_mwd_chair_nomesh_ap.w2ent;q701 sit mwd chair nomesh ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q701_stand_child_crying_ap.w2ent;q701 stand child crying ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q701_stand_m_guard_halberd_taunting_ap.w2ent;q701 stand m guard halberd taunting ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q701_stand_mw_crying_concious_ap.w2ent;q701 stand mw crying concious ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q702\marlene_eating_ap.w2ent;marlene eating ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q702\regis_brewing_ap.w2ent;regis brewing ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q702\spooncollector_ap_eating.w2ent;spooncollector ap eating
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q702\spooncollector_ap_taunt.w2ent;spooncollector ap taunt
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q703_ap_dog_taunting.w2ent;q703 ap dog taunting
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q703_horse_rearing.w2ent;q703 horse rearing
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q703_mandragora_sculpturer_ap.w2ent;q703 mandragora sculpturer ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q703_mandragora_thinking_ap.w2ent;q703 mandragora thinking ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q703_panther_taunting_ap.w2ent;q703 panther taunting ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q703_stand_mw_sightseeing_dynamic_ap.w2ent;q703 stand mw sightseeing dynamic ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q703_w_lie_posing_ap.w2ent;q703 w lie posing ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q703_waving_torch.w2ent;q703 waving torch
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q704_fleder_angry_ap.w2ent;q704 fleder angry ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q704_fleder_at_cart_ap.w2ent;q704 fleder at cart ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q704_fleder_child_ap.w2ent;q704 fleder child ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q704_fleder_hibernating_ap.w2ent;q704 fleder hibernating ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q704_kneel_m_cowering_03_conscious_ap.w2ent;q704 kneel m cowering 03 conscious ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q704_kneel_m_cowering_conscious_02_ap.w2ent;q704 kneel m cowering conscious 02 ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q704_looking_at_vampire_ap.w2ent;q704 looking at vampire ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q704_m_halberd_taunt_ap.w2ent;q704 m halberd taunt ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q704_m_shield_defence_ap.w2ent;q704 m shield defence ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q704\bear_sleep_ap.w2ent;bear sleep ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q704\q704_boy_orphanage_ap.w2ent;q704 boy orphanage ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q704\q704_diva_orphanage_ap.w2ent;q704 diva orphanage ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q704\werewolf_drunk_ap.w2ent;werewolf drunk ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q705\q705_ap_bootblack_wait.w2ent;q705 ap bootblack wait
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q705\q705_ap_chair_gwent_player.w2ent;q705 ap chair gwent player
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q705\q705_ap_hands_on_back.w2ent;q705 ap hands on back
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q705\q705_ap_sit_ground_captive.w2ent;q705 ap sit ground captive
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q705\q705_ap_sitting_bored.w2ent;q705 ap sitting bored
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q705\q705_ap_table_gwent_players.w2ent;q705 ap table gwent players
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q705\q705_ciri_chilling_ap.w2ent;q705 ciri chilling ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q705\q705_damien_sad_ap.w2ent;q705 damien sad ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q705\q705_dandelion_lute_ap.w2ent;q705 dandelion lute ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q705\q705_triss_chilling_ap.w2ent;q705 triss chilling ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\q705\q705_yen_chilling_ap.w2ent;q705 yen chilling ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\sit_m_determined_ap.w2ent;sit m determined ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\sit_m_pain_conscious_ap.w2ent;sit m pain conscious ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\sit_mw_devastated_nomesh_interactabl_ap.w2ent;sit mw devastated nomesh interactabl ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\sit_mw_sleep_awake_bucket_ap.w2ent;sit mw sleep awake bucket ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\sit_mwd_chair_nomesh_ap_ignore_collision.w2ent;sit mwd chair nomesh ap ignore collision
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\sit_noble_w_proud.w2ent;sit noble w proud
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\sq701\sq701_injured_ap.w2ent;sq701 injured ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\sq701\sq701_panther_taunting_ap.w2ent;sq701 panther taunting ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\sq701\sq701_plough_yourself_ap.w2ent;sq701 plough yourself ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\sq701\sq701_point_left_ap.w2ent;sq701 point left ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\sq701\sq701_stand_m_wave_ap.w2ent;sq701 stand m wave ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\sq701\sq701_stand_m_wave_constantly_ap.w2ent;sq701 stand m wave constantly ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\sq701\sq701_vivienne_stand_end_ap.w2ent;sq701 vivienne stand end ap
;bob-action points;quests;;dlc\bob\data\gameplay\community\actionpoints\quest\sq703_stand_w_enjoying_nature_ap.w2ent;sq703 stand w enjoying nature ap
;bob-action points;rain;;dlc\bob\data\gameplay\community\actionpoints\rain\stand_m_rain_ap.w2ent;stand m rain ap
;bob-action points;rain;;dlc\bob\data\gameplay\community\actionpoints\rain\stand_w_noblewoman_rain.w2ent;stand w noblewoman rain
;bob-action points;rain;;dlc\bob\data\gameplay\community\actionpoints\rain\stand_w_rain_ap.w2ent;stand w rain ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\chair_sitting_woman.w2ent;chair sitting woman
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\kneel_mw_unconscious_ap.w2ent;kneel mw unconscious ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\lean_m_wall_back_hands_hips_dynamic_ap.w2ent;lean m wall back hands hips dynamic ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\lean_mw_fence_on_arms_ap.w2ent;lean mw fence on arms ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\lean_w_table_back_ap.w2ent;lean w table back ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\lie_w_relaxed_on_grass_ap.w2ent;lie w relaxed on grass ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_2_md_playing_cards_table_ap.w2ent;sit 2 md playing cards table ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_2_mw_bench_ap.w2ent;sit 2 mw bench ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_2_mw_bench_rich_ap.w2ent;sit 2 mw bench rich ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_2_mw_bench_stone_ap.w2ent;sit 2 mw bench stone ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_2_mw_playing_dice_table_ap.w2ent;sit 2 mw playing dice table ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_4_m_playing_knife_table_ap.w2ent;sit 4 m playing knife table ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_c_chair_ap.w2ent;sit c chair ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_m_bandit_01_chair_ap.w2ent;sit m bandit 01 chair ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_m_bandit_01_stool_ap.w2ent;sit m bandit 01 stool ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_m_bandit_02_chair_ap.w2ent;sit m bandit 02 chair ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_m_bandit_02_stool_ap.w2ent;sit m bandit 02 stool ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_m_bored_ap.w2ent;sit m bored ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_m_chair_backwards_ap.w2ent;sit m chair backwards ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_m_ground_02_ap.w2ent;sit m ground 02 ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_m_relaxed_chair_ap.w2ent;sit m relaxed chair ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_m_smoking_relaxed_chair_ap.w2ent;sit m smoking relaxed chair ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_md_smoking_bench_short_ap.w2ent;sit md smoking bench short ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_md_smoking_bucket_ap.w2ent;sit md smoking bucket ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_md_smoking_chair_ap.w2ent;sit md smoking chair ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_md_smoking_crate_ap.w2ent;sit md smoking crate ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_md_smoking_stool_ap.w2ent;sit md smoking stool ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_mw_sleep_bench_short_ap.w2ent;sit mw sleep bench short ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_mw_sleep_bucket_ap.w2ent;sit mw sleep bucket ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_mw_sleep_chair_ap.w2ent;sit mw sleep chair ap
;bob-action points;resting;;dlc\bob\data\gameplay\community\actionpoints\resting\sit_mw_sleep_chair_rich_ap.w2ent;sit mw sleep chair rich ap
