CAT1;CAT2;CAT3;ID;Caption;duration
bob;anna henrieta;;1167567;"I begin like a groan hollowed out with ease...;7.917295
bob;anna henrieta;;1167569;There are several greenhouses in the gardens...;6.472753
bob;anna henrieta;;1167582;You're a genius! Several greenhouses in the ...;8.631008
bob;anna henrieta;;1168015;We shall need Damien. He led the investigati...;8.4453535
bob;anna henrieta;;1168017;Tell us, have you come alone, or did Viscoun...;6.1998825
bob;anna henrieta;;1168026;What awaits at the palace are edicts to sign...;8.087017
bob;anna henrieta;;1168046;I fear you'd not have much use for any of th...;3.7888496
bob;anna henrieta;;1168063;These were honorable men. We are horrified b...;10.150275
bob;anna henrieta;;1168453;Geralt insinuates nothing of the sort. We mu...;5.428977
bob;anna henrieta;;1168531;Crespi was not loved by the wine merchants -...;18.438519
bob;anna henrieta;;1168580;He made a veritable fortune in the grain tra...;6.1244745
bob;anna henrieta;;1168655;His body was found in the gutter, dressed in...;17.14515
bob;anna henrieta;;1168695;It's the best in all Toussaint. An old maste...;6.0201263
bob;anna henrieta;;1168753;Have you ever heard of anyone defeating such...;3.4530144
bob;anna henrieta;;1169706;Honor, wisdom, generosity, valor, and compas...;4.438435
bob;anna henrieta;;1170812;At last, witcher. We've been on tenterhooks!...;4.851535
bob;anna henrieta;;1170914;I hope you do not suppose we will sit on our...;6.421191
bob;anna henrieta;;1170920;It pleases me to see you gentlemen finally a...;5.8856497
bob;anna henrieta;;1170922;For the duration of this mission I release y...;11.260804
bob;anna henrieta;;1170983;Panthers have attacked the wagon! We must he...;3.3281019
bob;anna henrieta;;1171001;We shall know when we arrive. It's not far n...;3.1462488
bob;anna henrieta;;1171010;Kind of you to ask, Master Fabricio. I am we...;3.8302138
bob;anna henrieta;;1171014;That won't be necessary. As you can see, we ...;5.1969385
bob;anna henrieta;;1171467;Full, they are. The question is, are they fu...;5.752835
bob;anna henrieta;;1171477;Let's see if any barrels are empty.;2.038796
bob;anna henrieta;;1171481;That's the wrong year. Keep looking.;2.2727695
bob;anna henrieta;;1171485;Close, but not quite the right year.;2.9571238
bob;anna henrieta;;1171833;We will travel incognito. We've no wish to g...;5.0447655
bob;anna henrieta;;1171848;We'll not get anywhere asking questions, I s...;4.566185
bob;anna henrieta;;1171852;Master Fabricio, we have proof someone's gai...;9.019445
bob;anna henrieta;;1171854;Either you lie to our face or you are an idi...;13.398288
bob;anna henrieta;;1171858;Silence! And listen! I shall inspect the bar...;10.120369
bob;anna henrieta;;1171860;I shall find it. Give me the key to the cell...;3.6413233
bob;anna henrieta;;1171866;Grab a tap and a hammer. We shall open them ...;4.579477
bob;anna henrieta;;1171876;Fabricio lived as a beggar until I appointed...;7.0265822
bob;anna henrieta;;1171884;For now, a knock will suffice. If you hear a...;5.060993
bob;anna henrieta;;1171946;Get out of my sight.;1.3648471
bob;anna henrieta;;1171949;What now, witcher?;1.2802321
bob;anna henrieta;;1172222;I shan't return to the palace, our mission h...;6.7044373
bob;anna henrieta;;1172624;Let's follow it. No time to lose.;2.4824114
bob;anna henrieta;;1173079;Impossible. This is not wine, this is contam...;8.421802
bob;anna henrieta;;1173081;The fact that it did was no accident, I'm su...;3.6835814
bob;anna henrieta;;1173193;It looks like it held a flask of perfume.;2.3630488
bob;anna henrieta;;1173215;Strange question.;1.6310691
bob;anna henrieta;;1173219;You are forgiven. According to legend the vi...;11.619361
bob;anna henrieta;;1173221;In Toussaint we believe men of low birth sho...;16.085335
bob;anna henrieta;;1173223;At the time of his dubbing, a knight vows to...;7.9938745
bob;anna henrieta;;1173552;Come, we must consider what to do.;2.3354487
bob;anna henrieta;;1173606;Quickly! Upstairs.;1.2350668
bob;anna henrieta;;1173751;He... he slit her throat. The brute...;4.564499
bob;anna henrieta;;1173755;Geralt, I will be fine. Go after that rogue....;4.1306734
bob;anna henrieta;;1173940;Indeed, this is him. We found the body toget...;6.335272
bob;anna henrieta;;1173990;Why, that's the Heart of Toussaint! Orianna,...;4.9816694
bob;anna henrieta;;1174171;Is this the only evidence we've found?;1.9271661
bob;anna henrieta;;1174177;More recently the family's last heir, Roderi...;6.4085183
bob;anna henrieta;;1174181;His grandfather was an advisor to Queen Adem...;6.7423463
bob;anna henrieta;;1174255;Who were not only behind the Beast's murders...;7.1482964
bob;anna henrieta;;1174401;My sister, Syanna, might be among the scheme...;4.640712
bob;anna henrieta;;1174426;She left court when we were children... My par...;9.0301
bob;anna henrieta;;1174466;You see... I recall her always being rather... p...;10.203709
bob;anna henrieta;;1174470;True... I suppose I gave as good as I got. The...;7.4885397
bob;anna henrieta;;1174472;But I grew almost certain when I saw the Hea...;11.141875
bob;anna henrieta;;1174500;Your mission has gained new import. You must...;7.3038692
bob;anna henrieta;;1174502;No matter what she did, she is not to be har...;6.682092
bob;anna henrieta;;1174540;Regis! What a surprise, I had no idea you we...;6.137673
bob;anna henrieta;;1174544;Ah, yes, splendid... But why are you here, at ...;5.092994
bob;anna henrieta;;1174764;They were fortunate we happened by.;1.9148375
bob;anna henrieta;;1174794;My word. For what might a monster wish to ap...;4.857573
bob;anna henrieta;;1174814;Enough about the witcher trade for now... Regi...;6.970074
bob;anna henrieta;;1174818;It was wonderful. I was positively entranced...;7.815479
bob;anna henrieta;;1174867;Splendidly, Dettlaff. Ah, I'm grateful you b...;4.9202294
bob;anna henrieta;;1174869;You're back. It took you long enough.;2.4598067
bob;anna henrieta;;1174873;Regis - gallant as ever.;2.5884933
bob;anna henrieta;;1174875;I regret all the more that I shan't finish t...;4.981774
bob;anna henrieta;;1174881;I thank you for your help, it's been invalua...;4.685949
bob;anna henrieta;;1174887;You have exceptional friends. This Dettlaff ...;6.6188145
bob;anna henrieta;;1174893;Not much, but I've a good sense of the true ...;7.2583866
bob;anna henrieta;;1174897;Sensitive. Sad. He carries within him the we...;10.777263
bob;anna henrieta;;1174901;Neither did I... But I have not drawn you out ...;8.586813
bob;anna henrieta;;1174905;I've decided my guardsmen will support you. ...;4.800568
bob;anna henrieta;;1174943;It cannot be easy to identify anyone in this...;5.647316
bob;anna henrieta;;1175622;Witcher, that was not a request.;2.3320591
bob;anna henrieta;;1175744;Let them storm. They will not find her there...;11.39779
bob;anna henrieta;;1176102;The Heart is an heirloom, it belonged to my ...;8.564686
bob;anna henrieta;;1176127;Roderick is quite the recluse. He avoids soc...;13.145278
bob;anna henrieta;;1176156;Few make me feel awkward, but in her presenc...;6.486738
bob;anna henrieta;;1176336;The wine, its theft, was the first clue. Tha...;8.285315
bob;anna henrieta;;1176356;You must find him before he harms another. I...;6.737104
bob;anna henrieta;;1176372;I wish to know your thoughts, Geralt. The Sa...;9.525597
bob;anna henrieta;;1177152;You have committed crimes, grave crimes. Yet...;11.867599
bob;anna henrieta;;1177179;What is he talking about, Syanna?;2.1290843
bob;anna henrieta;;1177187;Syanna... You shall be tried and given a fitti...;9.74117
bob;anna henrieta;;1177189;As duchess, I shall have to judge you. But a...;10.205063
bob;anna henrieta;;1177828;I shall dispatch a palace guardsman to exami...;10.098679
bob;anna henrieta;;1178435;The impudence you must harbor to come in her...;5.28904
bob;anna henrieta;;1179215;We send you after a monster, and you return ...;6.602208
bob;anna henrieta;;1179317;Slightly smoky, strongly tannic. Definitely ...;6.0457335
bob;anna henrieta;;1179319;Ptooey! Yuck! Hideous, sour rotgut. Clearly ...;7.534071
bob;anna henrieta;;1179330;And buckthorn? When I was a child, grandmama...;6.859898
bob;anna henrieta;;1179341;How... what creature can do such things?;4.457991
bob;anna henrieta;;1179702;That is easy for you to say. The one murdere...;6.028472
bob;anna henrieta;;1179716;You are not one to tell me what I should or ...;4.0506816
bob;anna henrieta;;1179724;Who are you to tell me who my own sister was...;4.2168536
bob;anna henrieta;;1179738;You read it, Dandelion. Aloud, to me.;4.628392
bob;anna henrieta;;1180260;If it's war this Dettlaff wants, it's war he...;4.1616845
bob;anna henrieta;;1180262;Geralt, get to work. This time I'll hear no ...;3.7024913
bob;anna henrieta;;1180630;It's highly unlikely you've ever had a chanc...;6.69757
bob;anna henrieta;;1180636;In matters of wine, Benoit is never mistaken...;5.747932
bob;anna henrieta;;1180638;We must ride to Castel Ravello at once, disc...;3.6998374
bob;anna henrieta;;1180977;You lost them all in the fire? These are hor...;8.471922
bob;anna henrieta;;1181021;This is Geralt of Rivia, a witcher. He has c...;6.761179
bob;anna henrieta;;1181026;Which is to say I expect you to treat him wi...;4.4413033
bob;anna henrieta;;1181030;Did you hear that, witcher? Fabricio will be...;5.1246324
bob;anna henrieta;;1181374;I hope you did not think I would leave this ...;5.850287
bob;anna henrieta;;1181378;The master's eye fattens the calf. You're be...;4.8123016
bob;anna henrieta;;1181380;This prisoner of yours, bring him to me. We ...;4.4986534
bob;anna henrieta;;1181399;Wait... if he doesn't wish to speak, he needn'...;9.018756
bob;anna henrieta;;1181401;I'm certain the witcher will need bait to lu...;4.693641
bob;anna henrieta;;1181535;In that case, he is all yours.;2.7755034
bob;anna henrieta;;1181539;Do as you deem fit. He is all yours.;3.1368926
bob;anna henrieta;;1181915;The residence belongs to none of them. They ...;3.8163834
bob;anna henrieta;;1181919;Orianna, she owns this. Woman in the black d...;5.361316
bob;anna henrieta;;1181923;It would be pointless. All would know her an...;3.010582
bob;anna henrieta;;1181990;You... you must be mistaking me for someone el...;2.6723437
bob;anna henrieta;;1181994;Shh! Not so loud. We are here incognito. On ...;6.1760607
bob;anna henrieta;;1183594;What did you do? Summon the guards?;2.723153
bob;anna henrieta;;1183885;A shame... we would have loved to hear her.;2.5984943
bob;anna henrieta;;1183946;Not all bad... Nothing like a budding artist, ...;4.9403057
bob;anna henrieta;;1183948;Just one other detail. Here, put it on.;3.5886245
bob;anna henrieta;;1183952;All who attend a Mandragora soirée wear them...;5.978433
bob;anna henrieta;;1183988;Luckily I prepared for just such an eventual...;7.9706054
bob;anna henrieta;;1184066;Likely because they imagine it is oh so very...;4.568565
bob;anna henrieta;;1184068;The truth is far simpler - this way no one c...;6.100465
bob;anna henrieta;;1184142;I know the style, the stroke - this is Doria...;4.519737
bob;anna henrieta;;1184204;A gift from the Cintrian, I imagine...;2.089225
bob;anna henrieta;;1184232;That must be him...;1.0066812
bob;anna henrieta;;1184238;We must get to the dressing room. Quickly.;2.0524516
bob;anna henrieta;;1184476;This crest is used by the lords of Dun Tynne...;7.05186
bob;anna henrieta;;1184510;How do we find the Cintrian? Have you a plan...;2.78
bob;anna henrieta;;1184615;My sister could never have written that.;2.2932425
bob;anna henrieta;;1184619;No... I don't believe you, I don't believe it....;9.931891
bob;anna henrieta;;1184623;The letter is vile, it's slander! You must d...;8.189365
bob;anna henrieta;;1184940;My dear subjects! We come now to our next po...;14.851585
bob;anna henrieta;;1185145;You got lost!;1.2233108
bob;anna henrieta;;1185154;I shall show you where the hunt plays out, t...;4.3565254
bob;anna henrieta;;1185166;Oh, Geralt, Geralt... I knew I should have tak...;9.084661
bob;anna henrieta;;1185330;It... it could be something else altogether.;3.8226016
bob;anna henrieta;;1185342;Ah, yes, that sophisticated palate of his.;3.4424937
bob;anna henrieta;;1185346;Among the best in the world. Castel Ravello ...;3.986993
bob;anna henrieta;;1185354;An excellent wine. You've good taste.;3.4245336
bob;anna henrieta;;1185372;Then get to work. Let's broach those barrels...;2.7789786
bob;anna henrieta;;1185380;Step aside.;0.88047725
bob;anna henrieta;;1185388;Why did you do it?;1.3823843
bob;anna henrieta;;1185392;Is what I provide not enough?;2.2546225
bob;anna henrieta;;1185415;What do you mean?;0.8799681
bob;anna henrieta;;1185570;She ought to be in one of the alcoves.;2.3
bob;anna henrieta;;1185572;Come, let's look in the alcoves.;2.2475116
bob;anna henrieta;;1185574;Let's look by the refreshments.;1.7209842
bob;anna henrieta;;1185576;We should walk past the tables, perhaps they...;2.8291242
bob;anna henrieta;;1185578;Lead on, witcher.;1.3525354
bob;anna henrieta;;1185580;Let's not waste time.;1.4551077
bob;anna henrieta;;1185582;I... I've heard Anna Henrietta herself wished ...;7.06775
bob;anna henrieta;;1185610;What was the matter?;1.2940202
bob;anna henrieta;;1185700;Mhm... I'd recognize this taste anywhere. This...;5.513697
bob;anna henrieta;;1185702;Those hints of spice - distinctive. This is ...;5.289931
bob;anna henrieta;;1185746;And you - out! Get out of here! This is all ...;7.440475
bob;anna henrieta;;1185802;Captain, do the honors.;1.8196357
bob;anna henrieta;;1185861;Well, well... I did not expect you to have suc...;5.6693177
bob;anna henrieta;;1185863;Well, well. A witcher in a robe... I last saw ...;7.190432
bob;anna henrieta;;1185879;For now, we shall award the Order of Vitis V...;7.9324384
bob;anna henrieta;;1185994;See to our young hero - hop hop! For we must...;5.592567
bob;anna henrieta;;1186444;It's a wonderful fit, but you're sure to sta...;5.817738
bob;anna henrieta;;1186449;Right... right you are. We must proceed with c...;6.0080066
bob;anna henrieta;;1186468;Vampires or no vampires, my sister is here. ...;4.3483486
bob;anna henrieta;;1186483;Syanna... It's true - it's you! Sister, dear... ...;7.0572457
bob;anna henrieta;;1186589;A propos, were you able to establish who kid...;3.9289298
bob;anna henrieta;;1186778;What? You know him? Who is he?;2.8331258
bob;anna henrieta;;1187639;No buts.;1.155355
bob;anna henrieta;;1187649;We do not please. We act out of the highest ...;6.0760813
bob;anna henrieta;;1187653;I am the rules!;1.7496719
bob;anna henrieta;;1187655;Geralt! At last!;2.0570405
bob;anna henrieta;;1187692;Geralt! You're here!;1.5595484
bob;anna henrieta;;1187696;My dear subjects! Lend me your ears! Now!;5.3001103
bob;anna henrieta;;1187698;You must all spread out and penetrate the ar...;6.1941767
bob;anna henrieta;;1187702;I ask you nicely! Hop hop! Do this for me! T...;6.4923267
bob;anna henrieta;;1187708;In more familiar terms, now, I thank you imm...;9.380277
bob;anna henrieta;;1187716;I've a small surprise for you, in addition. ...;9.679012
bob;anna henrieta;;1187738;The gustatory experience of a lifetime await...;4.9366703
bob;anna henrieta;;1187745;Cheers.;1.0240421
bob;anna henrieta;;1187751;I trust you shall make good use of it.;2.5925364
bob;anna henrieta;;1188791;Save the poor souls!;1.7015016
bob;anna henrieta;;1188928;Your words sadden me greatly, witcher, but I...;6.1269183
bob;anna henrieta;;1188932;You are correct. They are what matters. I mu...;7.0346045
bob;anna henrieta;;1188935;Ptooey! Revolting, bitter plonk!;5.9341054
bob;anna henrieta;;1188976;I think... you may still get your chance.;4.679537
bob;anna henrieta;;1189036;We shall await your arrival.;1.3839523
bob;anna henrieta;;1189091;Ah!;0.39529172
bob;anna henrieta;;1189099;That... that must be Cecilia.;3.0661094
bob;anna henrieta;;1189188;Geralt, we haven't the time, come...;2.4268868
bob;anna henrieta;;1189190;Get out of the water, we've no time to lose.;3.3026712
bob;anna henrieta;;1189192;No time for such antics. Come on.;2.5359788
bob;anna henrieta;;1189308;Damien! To miss something so obvious! De Pey...;10.27885
bob;anna henrieta;;1189404;You... you feel resentment, I understand. But ...;10.977221
bob;anna henrieta;;1189477;He dares threaten us?!;2.5242796
bob;anna henrieta;;1191994;It's true... I did not stand up for you. I was...;7.3352265
bob;anna henrieta;;1192001;That's not true. I searched for you! Sent ou...;9.418767
bob;anna henrieta;;1192246;Remind me, where is the Sangreal stored?;3.1064134
bob;anna henrieta;;1192250;Come, witcher.;1.0881495
bob;anna henrieta;;1192255;We bestow the distinction upon the witcher w...;9.70635
bob;anna henrieta;;1192257;May this symbol serve as a reminder to all t...;9.126878
bob;anna henrieta;;1193701;Hurry along! It's cold down here.;1.9209527
bob;anna henrieta;;1193707;We must waste no more time. To the vineyard,...;3.886105
bob;anna henrieta;;1194165;Blackmailed? Be so kind as to explain how a ...;5.9213986
bob;anna henrieta;;1194177;Hmm... I admit to being swayed, witcher. You m...;9.86589
bob;anna henrieta;;1194184;You've no idea how wrong you are, my dear. S...;5.981104
bob;anna henrieta;;1194187;In Toussaint, wine is sacred. Here there is ...;14.341445
bob;anna henrieta;;1194192;Witcher, show him the paper scrap.;2.9578795
bob;anna henrieta;;1194194;Benoit, can you determine which wine made th...;2.9251163
bob;anna henrieta;;1194201;That's... That's impossible. The wine is produ...;11.604594
bob;anna henrieta;;1194203;Perhaps some Sangreal was stolen? We must go...;6.6608067
bob;anna henrieta;;1194265;You do not, I trust, suggest we let Milton's...;10.1992655
bob;anna henrieta;;1194324;And what do you propose to do?;2.3185914
bob;anna henrieta;;1194330;Master Geralt, do what you must! Finish the ...;4.263336
bob;anna henrieta;;1194401;This one is full.;0.9741007
bob;anna henrieta;;1194403;Full.;0.51638806
bob;anna henrieta;;1194412;I hope you do. I very much wish to talk to h...;4.920796
bob;anna henrieta;;1194878;Syanna was... cursed.;3.715803
bob;anna henrieta;;1194882;No. She was born at an inopportune moment. T...;16.21673
bob;anna henrieta;;1194886;She... she was angry at the whole world. She f...;14.086148
bob;anna henrieta;;1194888;I recall one such situation... She persuaded C...;8.028202
bob;anna henrieta;;1194890;We were children, and Cedric's brother was s...;6.7560787
bob;anna henrieta;;1194892;Syanna knew of it. She told Cedric of a drea...;10.087944
bob;anna henrieta;;1194894;Cedric stole his father's sword and killed h...;10.678747
bob;anna henrieta;;1194896;In the end, they forced her to leave the pal...;9.14166
bob;anna henrieta;;1195171;You were to destroy him, not help him.;4.536192
bob;anna henrieta;;1195190;You're mistaken, you must be. This cannot be...;3.8208249
bob;anna henrieta;;1195232;Well, well... you and modern art?;3.0837
bob;anna henrieta;;1195238;Oh, yes, that's him, all right. Good versus ...;8.273952
bob;anna henrieta;;1195582;Look at the mage! I believe he's casting spe...;3.4288642
bob;anna henrieta;;1195594;The dolphins... that is no ordinary illusion ....;5.165892
bob;anna henrieta;;1195603;Ah, how beautiful...;2.85
bob;anna henrieta;;1195665;Careful, it packs a pretty powerful punch.;3.0018084
bob;anna henrieta;;1196903;Master Fabricio, I am very disappointed.;4.575294
bob;anna henrieta;;1196979;This man's name.;1.4977866
bob;anna henrieta;;1197001;I've no Cintrian aristocrat at court.;2.4768138
bob;anna henrieta;;1197175;Sharp right! Take care!;1.9314151
bob;anna henrieta;;1197194;Now across the bridge!;1.5688659
bob;anna henrieta;;1197239;Look, lanterns! They say releasing them brin...;3.5489073
bob;anna henrieta;;1197245;Never suspected you believed in such things.;2.798342
bob;anna henrieta;;1197703;His was scratched... someone beat him with it ...;3.998131
bob;anna henrieta;;1197707;"O, my amour, my sunbeam flittering 'cross t...;8.855774
bob;anna henrieta;;1197711;I do not even wish to comment...;2.2149637
bob;anna henrieta;;1198040;We will discuss them later... Captain, escort ...;6.9686217
bob;anna henrieta;;1198042;And you, witcher, you have my thanks. I cann...;7.631486
bob;anna henrieta;;1198072;What... what nonsense is this?!;4.450291
bob;anna henrieta;;1198146;Someone wanted some of my wine. The same som...;10.706232
bob;anna henrieta;;1198211;Captain de la Tour and his men will await yo...;5.300397
bob;anna henrieta;;1198215;It stands along the Sansretour River, near t...;4.33512
bob;anna henrieta;;1198508;This cannot be true. You're mistaken! You mu...;5.6972337
bob;anna henrieta;;1198514;We shall now question a person implicated in...;12.973024
bob;anna henrieta;;1198522;As head of state, I must judge her fairly. B...;12.154069
bob;anna henrieta;;1198524;You returned my sister to me, yet what you t...;14.191471
bob;anna henrieta;;1198528;You returned my sister to me, yet you also s...;6.2268662
bob;anna henrieta;;1198530;I do not believe it.;1.6525079
bob;anna henrieta;;1198547;Thus I have asked Geralt to advise me, as on...;8.289135
bob;anna henrieta;;1198549;Nor does it let me believe you sought my dem...;11.784297
bob;anna henrieta;;1198556;Since the day you vanished, I have lived wit...;6.190026
bob;anna henrieta;;1198560;I shall never believe she did this! She was ...;8.650596
bob;anna henrieta;;1198939;Captain, have your men take Master Fabricio ...;7.240691
bob;anna henrieta;;1199108;Captain, this is not the time for such compl...;6.2707233
bob;anna henrieta;;1199186;A club, an affiliation of local artists. Pai...;6.434192
bob;anna henrieta;;1199191;They exude a mystique - consciously, I think...;13.309694
bob;anna henrieta;;1199193;All arrive in elaborate masks, then drink an...;3.788388
bob;anna henrieta;;1199272;The singer? I've heard of her. She is said t...;4.68651
bob;anna henrieta;;1199282;Out of the question! If the Cintrian truly d...;6.868751
bob;anna henrieta;;1199286;Precisely what we shall do.;1.4927373
bob;anna henrieta;;1199290;Geralt and I. In that sort of company, the w...;4.53855
bob;anna henrieta;;1199294;The Mandragora always assembles at the same ...;8.232549
bob;anna henrieta;;1199296;Geralt, you must don appropriate attire. The...;5.7121935
bob;anna henrieta;;1199338;He's late...;0.76290655
bob;anna henrieta;;1199342;There's something I'd like to know... How can ...;4.4506593
bob;anna henrieta;;1199346;What if something has happened to him...?;1.6903015
bob;anna henrieta;;1199350;Perhaps he can, but this Cintrian appears to...;4.3840632
bob;anna henrieta;;1199352;He managed to steal ducal wine from under my...;7.895825
bob;anna henrieta;;1199354;And it was he who specified the victims for ...;7.447164
bob;anna henrieta;;1199360;Even if it's so, he then sold the wine to th...;5.7848716
bob;anna henrieta;;1199364;Yet if we had not happened on the wine stain...;2.4199324
bob;anna henrieta;;1199377;Captain, why so long? We expected you hours ...;3.431318
bob;anna henrieta;;1199385;Here at last...! We lack only Damien, now... I'm...;5.261381
bob;anna henrieta;;1199429;With these in hand, they can deduce where th...;3.7874248
bob;anna henrieta;;1199433;We've no other option. But time is of the es...;5.074347
bob;anna henrieta;;1199436;On second thought, through here.;1.5412713
bob;anna henrieta;;1199439;You will get hold of the unicorn horn and th...;9.329644
bob;anna henrieta;;1199445;It's terribly skittish, true, but I'm sure y...;3.6450095
bob;anna henrieta;;1199450;Please, Geralt. It's not a real fish.;2.7010355
bob;anna henrieta;;1199452;Look there, towards the water - see the ligh...;8.382097
bob;anna henrieta;;1199510;All clear? Then let's get to it.;2.0813391
bob;anna henrieta;;1199511;It runs around over there - look.;1.9033549
bob;anna henrieta;;1199770;We shall go, accompanied by the best possibl...;6.9605474
bob;anna henrieta;;1199936;You are a step away from losing your head. S...;6.0660853
bob;anna henrieta;;1200045;So... so it is not him we seek, but his employ...;5.106152
bob;anna henrieta;;1200070;Made a fool? Whom by?;2.3848746
bob;anna henrieta;;1200343;Geralt, where are you going? We've a job to ...;3.0773544
bob;anna henrieta;;1200347;Come back, we must find the Cintrian.;2.3864505
bob;anna henrieta;;1201423;You have three days to bring me his head. No...;11.692795
bob;anna henrieta;;1201494;Where is he now?;1.0047188
bob;anna henrieta;;1201500;Roderick of Dun Tynne shall answer for treas...;3.3481207
bob;anna henrieta;;1201540;The same who so recently sat at my table and...;3.4605393
