default;type;cat1;cat2;cat3;animid;caption;posename;emotional state;status
;90;bob-misc idle animations;monsters;sharley;attack_special_003_digging_idle;attack special 003 digging idle;;;
;90;bob-misc idle animations;monsters;sharley;block_idle;block idle;;;
;90;bob-misc idle animations;monsters;sharley;dialogs_sharley_death_idle;dialogs sharley death idle;;;
;90;bob-misc idle animations;monsters;sharley;dialogs_sharley_death_idle_002;dialogs sharley death idle 002;;;
;90;bob-misc idle animations;monsters;sharley;dialogs_sharley_death_idle_003;dialogs sharley death idle 003;;;
;90;bob-misc idle animations;monsters;sharley;echo_idle_forward_look;echo idle forward look;;;
1;90;bob-misc idle animations;monsters;sharley;idle_loop;idle loop;;;
;90;bob-misc idle animations;monsters;sharley;roll_start_forward_idle;roll start forward idle;;;
1;90;bob-misc idle animations;monsters;vampire;detlaff_construct_idle_01;detlaff construct idle 01;;;
;90;bob-misc idle animations;monsters;vampire;detlaff_weak_idle;detlaff weak idle;;;
1;90;bob-misc idle animations;monsters;vampire;dettlaff_fly_idle_300;dettlaff fly idle 300;;;
;90;bob-misc idle animations;monsters;vampire;dettlaff_tornado_idle;dettlaff tornado idle;;;
1;90;bob-misc idle animations;monsters;vampire;idle_vampire;idle vampire;;;
;90;bob-misc idle animations;monsters;vampire;q702_geralt_high_sitting_determined_hold_bottle_idle;q702 geralt high sitting determined hold bottle idle;;;
;90;bob-misc idle animations;monsters;vampire;q702_regis_sitting_relaxed_hold_bottle_idle;q702 regis sitting relaxed hold bottle idle;;;
;90;bob-misc idle animations;monsters;vampire;q702_regis_sitting_relaxed_idle;q702 regis sitting relaxed idle;;;
;90;bob-misc idle animations;monsters;vampire;q704_truth_07_regis_standing_paralyzed_idle;q704 truth 07 regis standing paralyzed idle;;;
;90;bob-misc idle animations;monsters;vampire;q704_truth_07_regis_standing_submissive_idle;q704 truth 07 regis standing submissive idle;;;
;90;bob-misc idle animations;monsters;vampire;regis_standing_belt_1_idle;regis standing belt 1 idle;;;
1;90;bob-misc idle animations;monsters;;giant_combat_idle;giant combat idle;;;
;90;bob-misc idle animations;monsters;;q702_wight_sitting_at_wight_table_idle;q702 wight sitting at wight table idle;;;
1;90;bob-misc idle animations;monsters;;q704_item_rapunzel_corpse_idle;q704 item rapunzel corpse idle;;;
;1;bob-misc idle animations;woman;dialog;g704_fairy_tale_12_syanna_standing_catching_breath_idle;g704 fairy tale 12 syanna standing catching breath idle;;;
;;bob-misc idle animations;woman;dialog;lady_of_the_lake_sword_idle;lady of the lake sword idle;;;
;1;bob-misc idle animations;woman;dialog;q701_holding_clues_idle_anarietta;q701 holding clues idle anarietta;;;
;1;bob-misc idle animations;woman;dialog;q703_naked_woman_look_up_idle;q703 naked woman look up idle;;;
;1;bob-misc idle animations;woman;dialog;q704_fairy_tale_04_syanna_prying_at_oven_door_idle;q704 fairy tale 04 syanna prying at oven door idle;;;
;1;bob-misc idle animations;woman;dialog;q704_syanna_geralt_close_idle;q704 syanna geralt close idle;;;
;0;bob-misc idle animations;woman;dialog;q704_truth_03b_diva_and_boy_sitting_idle;q704 truth 03b diva and boy sitting idle;;;
;1;bob-misc idle animations;woman;dialog;sq701_vivienne_bird_pose_idle;sq701 vivienne bird pose idle;;;
;1;bob-misc idle animations;woman;dialog;sq701_vivienne_bird_pose_idle_flat_feet;sq701 vivienne bird pose idle flat feet;;;
;1;bob-misc idle animations;woman;dialog;sq701_vivienne_bird_standing_present_idle;sq701 vivienne bird standing present idle;;;
;1;bob-misc idle animations;woman;dialog;sq701_vivienne_fallen_down_injured_idle;sq701 vivienne fallen down injured idle;;;
;1;bob-misc idle animations;woman;dialog;sq701_vivienne_hold_hands_idle;sq701 vivienne hold hands idle;;;
;1;bob-misc idle animations;woman;dialog;sq701_vivienne_hold_hands_idle_mirrored;sq701 vivienne hold hands idle mirrored;;;
;1;bob-misc idle animations;woman;dialog;sq701_vivienne_present_crossbow_idle;sq701 vivienne present crossbow idle;;;
;0;bob-misc idle animations;woman;movement;cloak_high_standing_devastated2_idle;cloak high standing devastated2 idle;;;
;0;bob-misc idle animations;woman;movement;drunk_idle;drunk idle;;;
;0;bob-misc idle animations;woman;sitting;low_sitting_leaning_eating_continous_idle;low sitting leaning eating continous idle;;;
;1;bob-misc idle animations;woman;sitting;q703_oriana_high_sitting_happy_hold_glass_idle;q703 oriana high sitting happy hold glass idle;;;
;0;bob-misc idle animations;woman;standing;low_standing_cover_body_idle;low standing cover body idle;;;
;1;bob-misc idle animations;woman;standing;q704_fairy_tale_12_syanna_standing_catching_breath_idle;q704 fairy tale 12 syanna standing catching breath idle;;;
;1;bob-misc idle animations;woman;standing;sq701_vivienne_high_standing_coverbody_idle;sq701 vivienne high standing coverbody idle;;;
;1;bob-misc idle animations;woman;;q705_yenn_lying_on_a_deckchair_with_a_book_idle_gameplay;q705 yenn lying on a deckchair with a book idle gameplay;;;
;1;bob-misc idle animations;woman;;woman_noble_locomotion_idle;woman noble locomotion idle;;;
;1;bob-misc idle animations;woman;;woman_noble_locomotion_idle_additional;woman noble locomotion idle additional;;;
;60;bob-misc loop animations;animals;dog;tricks_loop01;tricks loop01;;;
;60;bob-misc loop animations;animals;dog;tricks_loop02;tricks loop02;;;
;60;bob-misc loop animations;animals;dog;tricks_loop03;tricks loop03;;;
;60;bob-misc loop animations;animals;panther;mcat_confusion_loop;mcat confusion loop;;;
;60;bob-misc loop animations;animals;panther;mcat_counter_loop;mcat counter loop;;;
;60;bob-misc loop animations;animals;panther;mcat_igni_loop;mcat igni loop;;;
;60;bob-misc loop animations;animals;panther;mcat_knockdown_loop;mcat knockdown loop;;;
;60;bob-misc loop animations;animals;panther;mcat_wander_eating_loop;mcat wander eating loop;;;
;60;bob-misc loop animations;animals;panther;mcat_wander_lying_loop;mcat wander lying loop;;;
;60;bob-misc loop animations;animals;panther;mcat_wander_sleeping_loop;mcat wander sleeping loop;;;
;60;bob-misc loop animations;animals;;tail_loop;tail loop;;;
;10;bob-misc loop animations;child;;child_catching_fish_loop_01;child catching fish loop 01;;;
;10;bob-misc loop animations;child;;child_catching_fish_loop_02;child catching fish loop 02;;;
;10;bob-misc loop animations;child;;child_crouching_scared_loop_recompress;child crouching scared loop recompress;;;
;10;bob-misc loop animations;child;;child_inspect_loop_recompress;child inspect loop recompress;;;
;10;bob-misc loop animations;child;;child_peeing_loop;child peeing loop;;;
;10;bob-misc loop animations;child;;child_playing_flute_loop_01;child playing flute loop 01;;;
;10;bob-misc loop animations;child;;child_playing_flute_loop_02;child playing flute loop 02;;;
;10;bob-misc loop animations;child;;child_pointing_at_sth_loop_recompress;child pointing at sth loop recompress;;;
;10;bob-misc loop animations;child;;kids_sit_fishing_loop_02_dialog_recompress;kids sit fishing loop 02 dialog recompress;;;
;10;bob-misc loop animations;child;;kids_sit_fishing_loop_03_dialog_recompress;kids sit fishing loop 03 dialog recompress;;;
;10;bob-misc loop animations;child;;q704_child_hiding_below_cart_loop;q704 child hiding below cart loop;;;
;0;bob-misc loop animations;man;dialog;geralt_knight_kneeling_with_sword_shield_loop_01_dialog_recompress;geralt knight kneeling with sword shield loop 01 dialog recompress;;;
;0;bob-misc loop animations;man;dialog;high_standing_determined_stairs_ascend_loop;high standing determined stairs ascend loop;;;
;2;bob-misc loop animations;man;dialog;man_knight_kneeling_with_sword_shield_loop_01_dialog_recompress;man knight kneeling with sword shield loop 01 dialog recompress;;;
;2;bob-misc loop animations;man;dialog;man_leaning_on_fence_on_butt_loop_1_dialog_recompress;man leaning on fence on butt loop 1 dialog recompress;;;
;2;bob-misc loop animations;man;dialog;man_looking_in_the_direction_loop_01_dialog_recompress;man looking in the direction loop 01 dialog recompress;;;
;2;bob-misc loop animations;man;dialog;man_painting_a_picture_loop01;man painting a picture loop01;;;
;2;bob-misc loop animations;man;dialog;man_painting_a_picture_loop02;man painting a picture loop02;;;
;2;bob-misc loop animations;man;dialog;man_work_sleep_ground_leaning_wall_loop_1_recompress;man work sleep ground leaning wall loop 1 recompress;;;
;2;bob-misc loop animations;man;dialog;man_work_standing_miner_pickaxe_loop_01_dialog_recompress;man work standing miner pickaxe loop 01 dialog recompress;;;
;0;bob-misc loop animations;man;dialog;q701_geralt_run_down_stairs_cycle_loop;q701 geralt run down stairs cycle loop;;;
;0;bob-misc loop animations;man;dialog;q703_geralt_climb_down_stairs_loop;q703 geralt climb down stairs loop;;;
;0;bob-misc loop animations;man;dialog;q704_geralt_climb_down_stairs_loop;q704 geralt climb down stairs loop;;;
;0;bob-misc loop animations;man;dialog;q705_man_playing_lute_loop_01_dialog_recompress;q705 man playing lute loop 01 dialog recompress;;;
;0;bob-misc loop animations;man;dialog;sq701_clerk_work_sitting_at_desk_writing_loop_01;sq701 clerk work sitting at desk writing loop 01;;;
;0;bob-misc loop animations;man;dialog;sq701_clerk_work_sitting_at_desk_writing_loop_02;sq701 clerk work sitting at desk writing loop 02;;;
;0;bob-misc loop animations;man;dialog;sq701_clerk_work_sitting_at_desk_writing_loop_03;sq701 clerk work sitting at desk writing loop 03;;;
;0;bob-misc loop animations;man;dialog;sq701_geralt_egg_ritual_loop;sq701 geralt egg ritual loop;;;
;2;bob-misc loop animations;man;dialog;sq701_knight_man_shield_pose_loop_01;sq701 knight man shield pose loop 01;;;
;2;bob-misc loop animations;man;dialog;sq701_knight_man_shield_pose_loop_02;sq701 knight man shield pose loop 02;;;
;2;bob-misc loop animations;man;dialog;sq701_knight_man_shield_pose_loop_03;sq701 knight man shield pose loop 03;;;
;0;bob-misc loop animations;man;dialog;stand_m_guard_crossbow_jt_loop_01_dialog_recompress;stand m guard crossbow jt loop 01 dialog recompress;;;
;2;bob-misc loop animations;man;quest;man_bard_cartwheels_loop;man bard cartwheels loop;;;
;2;bob-misc loop animations;man;quest;man_playing_lute_loop_01;man playing lute loop 01;;;
;2;bob-misc loop animations;man;quest;man_playing_lute_loop_02;man playing lute loop 02;;;
;0;bob-misc loop animations;man;quest;q703_first_mime_pulling_rope_loop;q703 first mime pulling rope loop;;;
;0;bob-misc loop animations;man;quest;q703_second_mime_pulling_rope_loop;q703 second mime pulling rope loop;;;
;2;bob-misc loop animations;man;quest;q703_sorcerer_water_show_magic_loop;q703 sorcerer water show magic loop;;;
;0;bob-misc loop animations;man;quest;q705_geralt_doing_laundry_loop;q705 geralt doing laundry loop;;;
;0;bob-misc loop animations;man;work;geralt_reading_book_loop_01;geralt reading book loop 01;;;
;0;bob-misc loop animations;man;work;geralt_reading_book_loop_02;geralt reading book loop 02;;;
;2;bob-misc loop animations;man;work;man_bard_playing_lute_and_rose_loop_1;man bard playing lute and rose loop 1;;;
;2;bob-misc loop animations;man;work;man_bard_playing_lute_and_rose_loop_2;man bard playing lute and rose loop 2;;;
;2;bob-misc loop animations;man;work;man_bard_playing_trombone_loop_01;man bard playing trombone loop 01;;;
;2;bob-misc loop animations;man;work;man_bard_playing_trombone_loop_02;man bard playing trombone loop 02;;;
;2;bob-misc loop animations;man;work;man_dancing_drunk_fancy_loop;man dancing drunk fancy loop;;;
;2;bob-misc loop animations;man;work;man_dancing_drunk_loop_01;man dancing drunk loop 01;;;
;2;bob-misc loop animations;man;work;man_dancing_drunk_loop_02;man dancing drunk loop 02;;;
;2;bob-misc loop animations;man;work;man_duel_warm_up_loop_1;man duel warm up loop 1;;;
;2;bob-misc loop animations;man;work;man_duel_warm_up_loop_2;man duel warm up loop 2;;;
;2;bob-misc loop animations;man;work;man_duel_warm_up_loop_3;man duel warm up loop 3;;;
;2;bob-misc loop animations;man;work;man_hammering_sculpture_loop;man hammering sculpture loop;;;
;2;bob-misc loop animations;man;work;man_knight_kneeling_with_sword_ loop_01;man knight kneeling with sword  loop 01;;;
;2;bob-misc loop animations;man;work;man_knight_kneeling_with_sword_ loop_02;man knight kneeling with sword  loop 02;;;
;2;bob-misc loop animations;man;work;man_noble_announcing_loop_01;man noble announcing loop 01;;;
;2;bob-misc loop animations;man;work;man_noble_dancing_formal_loop_01;man noble dancing formal loop 01;;;
;2;bob-misc loop animations;man;work;man_noble_dancing_formal_loop_02;man noble dancing formal loop 02;;;
;2;bob-misc loop animations;man;work;man_noble_dancing_formal_loop_03;man noble dancing formal loop 03;;;
;2;bob-misc loop animations;man;work;man_noble_dancing_formal_loop_04;man noble dancing formal loop 04;;;
;2;bob-misc loop animations;man;work;man_noble_dancing_formal_loop_start;man noble dancing formal loop start;;;
;2;bob-misc loop animations;man;work;man_noble_dancing_formal_loop_stop;man noble dancing formal loop stop;;;
;2;bob-misc loop animations;man;work;man_noble_duel_insult_loop_1;man noble duel insult loop 1;;;
;2;bob-misc loop animations;man;work;man_noble_duel_insult_loop_2;man noble duel insult loop 2;;;
;2;bob-misc loop animations;man;work;man_noble_fancing_training_loop_01;man noble fancing training loop 01;;;
;2;bob-misc loop animations;man;work;man_noble_lying_relaxed_grass_loop_01;man noble lying relaxed grass loop 01;;;
;2;bob-misc loop animations;man;work;man_noble_lying_relaxed_grass_loop_02;man noble lying relaxed grass loop 02;;;
;2;bob-misc loop animations;man;work;man_noble_lying_relaxed_grass_loop_03;man noble lying relaxed grass loop 03;;;
;2;bob-misc loop animations;man;work;man_noble_posing_mirror_loop_bowing_01;man noble posing mirror loop bowing 01;;;
;2;bob-misc loop animations;man;work;man_noble_posing_mirror_loop_checking_01;man noble posing mirror loop checking 01;;;
;2;bob-misc loop animations;man;work;man_noble_posing_mirror_loop_dustingclothes_01;man noble posing mirror loop dustingclothes 01;;;
;2;bob-misc loop animations;man;work;man_noble_posing_painter_loop_01_01;man noble posing painter loop 01 01;;;
;2;bob-misc loop animations;man;work;man_noble_posing_painter_loop_01_02;man noble posing painter loop 01 02;;;
;2;bob-misc loop animations;man;work;man_noble_sit_table_flirting_wine_loop_1;man noble sit table flirting wine loop 1;;;
;2;bob-misc loop animations;man;work;man_noble_sit_table_flirting_wine_loop_2;man noble sit table flirting wine loop 2;;;
;2;bob-misc loop animations;man;work;man_noble_sit_table_flirting_wine_loop_3;man noble sit table flirting wine loop 3;;;
;2;bob-misc loop animations;man;work;man_noble_sit_table_flirting_wine_loop_4;man noble sit table flirting wine loop 4;;;
;2;bob-misc loop animations;man;work;man_noble_sit_table_tasting_wine_loop_1;man noble sit table tasting wine loop 1;;;
;2;bob-misc loop animations;man;work;man_noble_sit_table_tasting_wine_loop_2;man noble sit table tasting wine loop 2;;;
;2;bob-misc loop animations;man;work;man_noble_sit_tasting_wine_loop_1;man noble sit tasting wine loop 1;;;
;2;bob-misc loop animations;man;work;man_noble_sit_tasting_wine_loop_2;man noble sit tasting wine loop 2;;;
;2;bob-misc loop animations;man;work;man_noble_sitting_cheering_loop_01;man noble sitting cheering loop 01;;;
;2;bob-misc loop animations;man;work;man_noble_sitting_cheering_loop_02;man noble sitting cheering loop 02;;;
;2;bob-misc loop animations;man;work;man_noble_sitting_cheering_loop_03;man noble sitting cheering loop 03;;;
;2;bob-misc loop animations;man;work;man_noble_sitting_cheering_loop_04;man noble sitting cheering loop 04;;;
;2;bob-misc loop animations;man;work;man_noble_stand_eating_fancy_loop_01;man noble stand eating fancy loop 01;;;
;2;bob-misc loop animations;man;work;man_noble_stand_eating_fancy_loop_02;man noble stand eating fancy loop 02;;;
;2;bob-misc loop animations;man;work;man_noble_stand_eating_fancy_loop_03;man noble stand eating fancy loop 03;;;
;2;bob-misc loop animations;man;work;man_noble_stand_flirting_loop_01;man noble stand flirting loop 01;;;
;2;bob-misc loop animations;man;work;man_noble_stand_flirting_loop_02;man noble stand flirting loop 02;;;
;2;bob-misc loop animations;man;work;man_noble_stand_flirting_loop_03;man noble stand flirting loop 03;;;
;2;bob-misc loop animations;man;work;man_noble_stand_flirting_loop_04;man noble stand flirting loop 04;;;
;2;bob-misc loop animations;man;work;man_noble_staring_at_woman_loop_01;man noble staring at woman loop 01;;;
;2;bob-misc loop animations;man;work;man_noble_staring_at_woman_loop_02;man noble staring at woman loop 02;;;
;2;bob-misc loop animations;man;work;man_noble_staring_at_woman_loop_03;man noble staring at woman loop 03;;;
;2;bob-misc loop animations;man;work;man_peasant_cutting_hedges_loop_01;man peasant cutting hedges loop 01;;;
;2;bob-misc loop animations;man;work;man_peasant_cutting_hedges_loop_02;man peasant cutting hedges loop 02;;;
;2;bob-misc loop animations;man;work;man_peasant_picking_grapes_loop_01;man peasant picking grapes loop 01;;;
;2;bob-misc loop animations;man;work;man_peasant_picking_grapes_loop_02;man peasant picking grapes loop 02;;;
;2;bob-misc loop animations;man;work;man_peasant_picking_grapes_loop_03;man peasant picking grapes loop 03;;;
;2;bob-misc loop animations;man;work;man_peasant_stand_fishing_loop;man peasant stand fishing loop;;;
;2;bob-misc loop animations;man;work;man_peasant_work_with_vine_loop_01;man peasant work with vine loop 01;;;
;2;bob-misc loop animations;man;work;man_peasant_work_with_vine_loop_02;man peasant work with vine loop 02;;;
;2;bob-misc loop animations;man;work;man_peasant_work_with_vine_loop_03;man peasant work with vine loop 03;;;
;2;bob-misc loop animations;man;work;man_peasant_work_with_vine_loop_04;man peasant work with vine loop 04;;;
;2;bob-misc loop animations;man;work;man_peasant_work_with_vine_loop_05;man peasant work with vine loop 05;;;
;2;bob-misc loop animations;man;work;man_peasant_work_with_vine_loop_06;man peasant work with vine loop 06;;;
;2;bob-misc loop animations;man;work;man_work_reading_book_loop_01;man work reading book loop 01;;;
;2;bob-misc loop animations;man;work;man_work_reading_book_loop_02;man work reading book loop 02;;;
;2;bob-misc loop animations;man;work;man_work_rich_bed_spoon_left_loop_01;man work rich bed spoon left loop 01;;;
;2;bob-misc loop animations;man;work;man_work_rich_bed_spoon_left_loop_02;man work rich bed spoon left loop 02;;;
;2;bob-misc loop animations;man;work;man_work_rich_bed_spoon_left_loop_03;man work rich bed spoon left loop 03;;;
;2;bob-misc loop animations;man;work;man_work_rich_bed_spoon_right_loop_01;man work rich bed spoon right loop 01;;;
;2;bob-misc loop animations;man;work;man_work_rich_bed_spoon_right_loop_02;man work rich bed spoon right loop 02;;;
;2;bob-misc loop animations;man;work;man_work_rich_bed_spoon_right_loop_03;man work rich bed spoon right loop 03;;;
;2;bob-misc loop animations;man;work;man_work_with_fan_loop;man work with fan loop;;;
;0;bob-misc loop animations;man;;attack_overhead_loop;attack overhead loop;;;
;2;bob-misc loop animations;man;;man_geralt_sword_trap_loop_002;man geralt sword trap loop 002;;;
;2;bob-misc loop animations;man;;man_knight_kneeling_with_sword_shield_loop_01;man knight kneeling with sword shield loop 01;;;
;2;bob-misc loop animations;man;;man_knight_kneeling_with_sword_shield_loop_02;man knight kneeling with sword shield loop 02;;;
;2;bob-misc loop animations;man;;man_peasant_carrying_barels_scared_loop;man peasant carrying barels scared loop;;;
;90;bob-misc loop animations;monsters;bruxa;bruxa_burning_loop;bruxa burning loop;;;
;90;bob-misc loop animations;monsters;bruxa;bruxa_confuson_loop;bruxa confuson loop;;;
;90;bob-misc loop animations;monsters;bruxa;bruxa_crawl_loop;bruxa crawl loop;;;
;90;bob-misc loop animations;monsters;bruxa;bruxa_crawl_loop_slow;bruxa crawl loop slow;;;
;90;bob-misc loop animations;monsters;bruxa;bruxa_immobilise_loop;bruxa immobilise loop;;;
;90;bob-misc loop animations;monsters;bruxa;bruxa_jump_up_loop;bruxa jump up loop;;;
;90;bob-misc loop animations;monsters;bruxa;bruxa_knockdown_loop;bruxa knockdown loop;;;
;90;bob-misc loop animations;monsters;bruxa;bruxa_quest_eating_body_loop;bruxa quest eating body loop;;;
;90;bob-misc loop animations;monsters;echinops;reaction_fold_loop_shaking;reaction fold loop shaking;;;
;90;bob-misc loop animations;monsters;echinops;utility_grow_loop;utility grow loop;;;
;90;bob-misc loop animations;monsters;echinops;utility_grow_loop_hard;utility grow loop hard;;;
;90;bob-misc loop animations;monsters;echinops;utility_suicide_bulbs_loop;utility suicide bulbs loop;;;
;90;bob-misc loop animations;monsters;echinops;utility_suicide_bulbs_loop_hard;utility suicide bulbs loop hard;;;
;90;bob-misc loop animations;monsters;echinops;utility_wander_eating_loop_01;utility wander eating loop 01;;;
;90;bob-misc loop animations;monsters;echinops;utility_wander_eating_loop_02;utility wander eating loop 02;;;
;90;bob-misc loop animations;monsters;echinops-bulb;reaction_fold_loop_shaking1;reaction fold loop shaking1;;;
;90;bob-misc loop animations;monsters;echinops-bulb;utility_wander_eating_loop_011;utility wander eating loop 011;;;
;90;bob-misc loop animations;monsters;echinops-bulb;utility_wander_eating_loop_021;utility wander eating loop 021;;;
;90;bob-misc loop animations;monsters;fairytale witch;cauldron_effect_burning_loop;cauldron effect burning loop;;;
;90;bob-misc loop animations;monsters;fairytale witch;cauldron_effect_confusion_loop;cauldron effect confusion loop;;;
;90;bob-misc loop animations;monsters;fairytale witch;cauldron_effect_knockdown_loop;cauldron effect knockdown loop;;;
;90;bob-misc loop animations;monsters;fairytale witch;flight_loop_l;flight loop l;;;
;90;bob-misc loop animations;monsters;fairytale witch;flight_loop_l_pose;flight loop l pose;;;
